iata_code,ident,type,continent,iso_country,iso_region,municipality,gps_code,local_code,Name,City,Country,Latitude,Longitude,Altitude,Timezone,DST,Tz.database.time.zone
ABH,YAPH,medium_airport,OC,AU,AU-QLD,Alpha,YAPH,,Alpha Airport,Alpha,Australia,-23.646099,146.584,1255,\N,\N,\N
ABI,KABI,medium_airport,NA,US,US-TX,Abilene,KABI,ABI,Abilene Regional Airport,Abilene,United States,32.41130066,-99.68190002,1791,-6,A,America/Chicago
ABJ,DIAP,medium_airport,AF,CI,CI-01,Abidjan,DIAP,,Port Bouet Airport,Abidjan,Cote d'Ivoire,5.261390209,-3.926290035,21,0,N,Africa/Abidjan
ABK,HAKD,small_airport,AF,ET,ET-SO,Kabri Dehar,HAKD,,Kabri Dehar Airport,Kabri Dehar,Ethiopia,6.734000206,44.25299835,1800,3,U,Africa/Addis_Ababa
ABL,PAFM,medium_airport,NA,US,US-AK,Ambler,PAFM,AFM,Ambler Airport,Ambler,United States,67.10630035,-157.8569946,334,-9,A,America/Anchorage
ABM,YBAM,small_airport,OC,AU,AU-QLD,Bamaga,YNPE,,Northern Peninsula Airport,Amberley,Australia,-10.9508,142.459,34,10,O,Australia/Brisbane
ABN,SMBN,small_airport,SA,SR,SR-MA,Albina,SMBN,,Albina Airport,Albina,Suriname,5.512720108,-54.05009842,19,-3,U,America/Paramaribo
ABQ,KABQ,large_airport,NA,US,US-NM,Albuquerque,KABQ,ABQ,Albuquerque International Sunport Airport,Albuquerque,United States,35.04019928,-106.6090012,5355,-7,A,America/Denver
ABR,KABR,medium_airport,NA,US,US-SD,Aberdeen,KABR,ABR,Aberdeen Regional Airport,Aberdeen,United States,45.44910049,-98.42179871,1302,-6,A,America/Chicago
ABS,HEBL,medium_airport,AF,EG,EG-ASN,Abu Simbel,HEBL,,Abu Simbel Airport,Abu Simbel,Egypt,22.37599945,31.61170006,616,2,U,Africa/Cairo
ABT,OEBA,medium_airport,AS,SA,SA-11,,OEBA,,Al Baha Airport,El-baha,Saudi Arabia,20.29610062,41.63430023,5486,3,U,Asia/Riyadh
ABU,WRKA,small_airport,AS,ID,ID-NT,Atambua-Timor Island,WATA,,Haliwen Airport,Atambua,Indonesia,-9.333333,124.9,1434,8,N,Asia/Makassar
ABV,DNAA,large_airport,AF,NG,NG-FC,Abuja,DNAA,,Nnamdi Azikiwe International Airport,Abuja,Nigeria,9.006790161,7.263169765,1123,1,N,Africa/Lagos
ABX,YMAY,medium_airport,OC,AU,AU-NSW,Albury,YMAY,,Albury Airport,Albury,Australia,-36.06779861,146.9579926,539,10,O,Australia/Sydney
ABY,KABY,medium_airport,NA,US,US-GA,Albany,KABY,ABY,Southwest Georgia Regional Airport,Albany,United States,31.53549957,-84.19450378,197,-5,A,America/New_York
ABZ,EGPD,large_airport,EU,GB,GB-SCT,Aberdeen,EGPD,,Aberdeen Dyce Airport,Aberdeen,United Kingdom,57.20190048,-2.197779894,215,0,E,Europe/London
ACA,MMAA,large_airport,NA,MX,MX-GRO,Acapulco,MMAA,,General Juan N Alvarez International Airport,Acapulco,Mexico,16.75709915,-99.7539978,16,-6,S,America/Mexico_City
ACC,DGAA,large_airport,AF,GH,GH-AA,Accra,DGAA,,Kotoka International Airport,Accra,Ghana,5.6051898,-0.166786,205,0,N,Africa/Accra
ACD,SKAD,small_airport,SA,CO,CO-CHO,Acand√≠,SKAD,ACD,Alcides Fern·ndez Airport,Acandi,Colombia,8.51667,-77.3,50,-5,U,America/Bogota
ACE,GCRR,medium_airport,EU,ES,ES-CN,Lanzarote Island,GCRR,,Lanzarote Airport,Arrecife,Spain,28.94549942,-13.60519981,46,0,E,Atlantic/Canary
ACH,LSZR,medium_airport,EU,CH,CH-SG,Altenrhein,LSZR,,St Gallen Altenrhein Airport,Altenrhein,Switzerland,47.48500061,9.560770035,1306,1,E,Europe/Zurich
ACI,EGJA,medium_airport,EU,GG,GG-U-A,Saint Anne,EGJA,,Alderney Airport,Alderney,Guernsey,49.70610046,-2.214720011,290,0,E,Europe/Guernsey
ACJ,VCCA,medium_airport,AS,LK,LK-7,Anuradhapura,VCCA,,Anuradhapura Air Force Base,Anuradhapura,Sri Lanka,8.30148983,80.42790222,324,5.5,U,Asia/Colombo
ACK,KACK,medium_airport,NA,US,US-MA,Nantucket,KACK,ACK,Nantucket Memorial Airport,Nantucket,United States,41.25310135,-70.06020355,47,-5,A,America/New_York
ACP,OITM,small_airport,AS,IR,IR-01,Maragheh,OITM,,Sahand Airport,Maragheh,Iran,37.34799957,46.12789917,4396,3.5,E,Asia/Tehran
ACR,SKAC,small_airport,SA,CO,CO-CAQ,Araracuara,SKAC,ACR,Araracuara Airport,Araracuara,Colombia,-0.5833,-72.4083,1250,-5,U,America/Bogota
ACS,UNKS,medium_airport,AS,RU,RU-KYA,Achinsk,UNKS,,Achinsk Airport,Achinsk,Russia,56.2682991,90.57080078,1033,8,N,\N
ACT,KACT,medium_airport,NA,US,US-TX,Waco,KACT,ACT,Waco Regional Airport,Waco,United States,31.61129951,-97.23049927,516,-6,A,America/Chicago
ACU,PA-0001,small_airport,NA,PA,PA-5,Achutupo,,,Achutupo Airport,Achutupo,Panama,9.2,-77.98,0,-5,U,America/Panama
ACV,KACV,medium_airport,NA,US,US-CA,Arcata/Eureka,KACV,ACV,Arcata Airport,Arcata CA,United States,40.97809982,-124.1090012,221,-8,A,America/Los_Angeles
ACX,ZUYI,medium_airport,AS,CN,CN-52,Xingyi,ZUYI,,Xingyi Airport,Xingyi,China,25.08638889,104.9594444,4150,8,U,Asia/Shanghai
ACY,KACY,medium_airport,NA,US,US-NJ,Atlantic City,KACY,ACY,Atlantic City International Airport,Atlantic City,United States,39.45759964,-74.57720184,75,-5,A,America/New_York
ACZ,OIZB,medium_airport,AS,IR,IR-13,,OIZB,,Zabol Airport,Zabol,Iran,31.09830093,61.54389954,1628,3.5,E,Asia/Tehran
ADA,LTAF,large_airport,AS,TR,TR-01,Adana,LTAF,,Adana Airport,Adana,Turkey,36.98220062,35.28039932,65,3,E,Europe/Istanbul
ADB,LTBJ,large_airport,AS,TR,TR-35,ƒ∞zmir,LTBJ,,Adnan Menderes International Airport,Izmir,Turkey,38.29240036,27.15699959,412,3,E,Europe/Istanbul
ADD,HAAB,large_airport,AF,ET,ET-AA,Addis Ababa,HAAB,,Addis Ababa Bole International Airport,Addis Ababa,Ethiopia,8.977890015,38.79930115,7630,3,U,Africa/Addis_Ababa
ADE,OYAA,medium_airport,AS,YE,YE-AD,Aden,OYAA,,Aden International Airport,Aden,Yemen,12.8295002,45.02880096,7,3,U,Asia/Aden
ADF,LTCP,medium_airport,AS,TR,TR-02,Adƒ±yaman,LTCP,,Adiyaman Airport,Adiyaman,Turkey,37.73139954,38.46889877,2216,3,E,Europe/Istanbul
ADH,UEEA,small_airport,AS,RU,RU-SA,Aldan,UEEA,,Aldan Airport,Aldan,Russia,58.60279846,125.4089966,2241,9,N,Asia/Yakutsk
ADI,FYAR,medium_airport,AF,NA,NA-ER,Arandis,FYAR,,Arandis Airport,Arandis,Namibia,-22.46220016,14.97999954,1905,\N,\N,\N
ADJ,OJAM,medium_airport,AS,JO,JO-AM,Amman,OJAM,,Amman-Marka International Airport,Amman,Jordan,31.97270012,35.99160004,2555,2,E,Asia/Amman
ADK,PADK,medium_airport,NA,US,US-AK,Adak Island,PADK,ADK,Adak Airport,Adak Island,United States,51.87799835,-176.6459961,18,-10,A,America/Adak
ADL,YPAD,large_airport,OC,AU,AU-SA,Adelaide,YPAD,,Adelaide International Airport,Adelaide,Australia,-34.94499969,138.5310059,20,9.5,O,Australia/Adelaide
ADM,KADM,small_airport,NA,US,US-OK,Ardmore,KADM,ADM,Ardmore Municipal Airport,Ardmore,United States,34.30301,-97.0196342,777,-6,A,America/Chicago
ADQ,PADQ,medium_airport,NA,US,US-AK,Kodiak,PADQ,ADQ,Kodiak Airport,Kodiak,United States,57.75,-152.4940033,78,-9,A,America/Anchorage
ADS,KADS,small_airport,NA,US,US-TX,Dallas,KADS,ADS,Addison Airport,Addison,United States,32.96860123,-96.83640289,644,-6,A,America/Chicago
ADU,OITL,medium_airport,AS,IR,IR-03,Ardabil,OITL,,Ardabil Airport,Ardabil,Iran,38.32569885,48.42440033,4315,3.5,E,Asia/Tehran
ADW,KADW,large_airport,NA,US,US-MD,Camp Springs,KADW,ADW,Andrews Air Force Base,Camp Springs,United States,38.81079865,-76.86699677,280,-5,A,America/New_York
ADX,EGQL,medium_airport,EU,GB,GB-SCT,St. Andrews,EGQL,,RAF Leuchars,Leuchars,United Kingdom,56.3728981,-2.868439913,38,0,E,Europe/London
ADY,FAAL,small_airport,AF,ZA,ZA-NP,Alldays,FAAL,,Alldays Airport,Alldays,South Africa,-22.67900085,29.05550003,2600,2,U,Africa/Johannesburg
ADZ,SKSP,medium_airport,SA,CO,CO-SAP,San Andr√©s,SKSP,ADZ,Gustavo Rojas Pinilla International Airport,San Andres Island,Colombia,12.5836,-81.7112,19,-5,U,America/Bogota
AEA,NGTB,small_airport,OC,KI,KI-G,Abemama Atoll,NGTB,,Abemama Atoll Airport,Abemama,Kiribati,0.490833014,173.8289948,8,12,U,Pacific/Tarawa
AEB,CN-0082,medium_airport,AS,CN,CN-45,Baise,ZGBS,,Tianyang,Baise,China,23.72,106.96,485,8,N,Asia/Shanghai
AEH,FTTC,medium_airport,AF,TD,TD-OD,,FTTC,,Abeche Airport,Abeche,Chad,13.84700012,20.84429932,1788,1,N,Africa/Ndjamena
AEP,SABE,medium_airport,SA,AR,AR-C,Buenos Aires,SABE,AER,Jorge Newbery Airpark,Buenos Aires,Argentina,-34.5592,-58.4156,18,-3,N,America/Buenos_Aires
AER,URSS,large_airport,EU,RU,RU-KDA,Sochi,URSS,,Sochi International Airport,Sochi,Russia,43.44990158,39.95660019,89,3,N,Europe/Moscow
AES,ENAL,medium_airport,EU,NO,NO-15,√Ölesund,ENAL,,≈lesund Airport,Alesund,Norway,62.5625,6.119699955,69,1,E,Europe/Oslo
AET,PFAL,small_airport,NA,US,US-AK,Allakaket,PFAL,6A8,Allakaket Airport,Allakaket,United States,66.55180359,-152.621994,441,-9,A,America/Anchorage
AEX,KAEX,medium_airport,NA,US,US-LA,Alexandria,KAEX,AEX,Alexandria International Airport,Alexandria,United States,31.32740021,-92.54979706,89,-6,A,America/Chicago
AEY,BIAR,medium_airport,EU,IS,IS-6,Akureyri,BIAR,,Akureyri Airport,Akureyri,Iceland,65.66000366,-18.0727005,6,0,N,Atlantic/Reykjavik
AFA,SAMR,medium_airport,SA,AR,AR-M,San Rafael,SAMR,SRA,Suboficial Ay Santiago Germano Airport,San Rafael,Argentina,-34.588299,-68.4039,2470,-3,N,America/Mendoza
AFL,SBAT,medium_airport,SA,BR,BR-MT,Alta Floresta,SBAT,,Piloto Osvaldo Marques Dias Airport,Alta Floresta,Brazil,-9.866389275,-56.10499954,948,-4,S,America/Campo_Grande
AFS,UTSN,small_airport,AS,UZ,UZ-NW,Zarafshan,UTSN,,Sugraly Airport,Zarafshan,Uzbekistan,41.61389923,64.23320007,1396,5,U,Asia/Samarkand
AFT,AGAF,small_airport,OC,SB,SB-ML,Bila,AGAF,,Afutara Aerodrome,Afutara,Solomon Islands,-9.191388889,160.9486111,23,11,U,Pacific/Guadalcanal
AFW,KAFW,large_airport,NA,US,US-TX,Fort Worth,KAFW,AFW,Fort Worth Alliance Airport,Fort Worth,United States,32.98759842,-97.31880188,722,-6,A,America/Chicago
AFY,LTAH,medium_airport,AS,TR,TR-03,Afyonkarahisar,LTAH,,Afyon Airport,Afyon,Turkey,38.72639847,30.60110092,3310,3,E,Europe/Istanbul
AFZ,OIMS,medium_airport,AS,IR,IR-30,Sabzevar,OIMS,,Sabzevar National Airport,Sabzevar,Iran,36.16809845,57.59519958,3010,3.5,E,Asia/Tehran
AGA,GMAD,medium_airport,AF,MA,MA-AGD,Agadir,GMAD,,Al Massira Airport,Agadir,Morocco,30.32500076,-9.413069725,250,0,N,Africa/Casablanca
AGB,EDMA,medium_airport,EU,DE,DE-BY,Augsburg,EDMA,,Augsburg Airport,Augsburg,Germany,48.425278,10.931667,1516,1,E,Europe/Berlin
AGC,KAGC,medium_airport,NA,US,US-PA,Pittsburgh,KAGC,AGC,Allegheny County Airport,Pittsburgh,United States,40.35440063,-79.93019867,1252,-5,A,America/New_York
AGE,EDWG,small_airport,EU,DE,DE-NI,Wangerooge,EDWG,,Wangerooge Airport,Wangerooge,Germany,53.78277969,7.913888931,7,1,E,Europe/Berlin
AGF,LFBA,medium_airport,EU,FR,FR-B,Agen/La Garenne,LFBA,,Agen-La Garenne Airport,Agen,France,44.17470169,0.590556026,204,1,E,Europe/Paris
AGH,ESTA,medium_airport,EU,SE,SE-M,√Ñngelholm,ESTA,,ƒngelholm-Helsingborg Airport,ƒngelholm,Sweden,56.29610062,12.84710026,68,1,E,Europe/Stockholm
AGI,SMWA,small_airport,SA,SR,SR-NI,Wageningen,SMWA,,Wageningen Airstrip,Wageningen,Suriname,5.766666889,-56.6333313,6,-3,U,America/Paramaribo
AGJ,RORA,small_airport,AS,JP,JP-47,Aguni,RORA,,Aguni Airport,Aguni,Japan,26.59250069,127.2409973,38,9,U,Asia/Tokyo
AGL,AGL,small_airport,OC,PG,PG-NPP,,AYWG,WGL,Wanigela Airport,Wanigela,Papua New Guinea,-9.333,149.15,0,10,U,Pacific/Port_Moresby
AGM,BGAM,heliport,NA,GL,GL-U-A,Tasiilaq,BGAM,,Tasiilaq Heliport,Angmagssalik,Greenland,65.61229608,-37.61833549,24,-3,U,America/Godthab
AGN,PAGN,seaplane_base,NA,US,US-AK,Angoon,PAGN,AGN,Angoon Seaplane Base,Angoon,United States,57.503601,-134.585007,0,-9,A,America/Anchorage
AGP,LEMG,large_airport,EU,ES,ES-AN,M√°laga,LEMG,,M·laga Airport,Malaga,Spain,36.67490005,-4.499110222,53,1,E,Europe/Madrid
AGQ,LGAG,closed,EU,GR,GR-01,Agrinion,LGAG,,Agrinion Air Base,Agrinion,Greece,38.602001,21.3512001,154,2,E,Europe/Athens
AGR,VIAG,medium_airport,AS,IN,IN-UP,,VIAG,,Agra Airport,Agra,India,27.15579987,77.96089935,551,5.5,N,Asia/Calcutta
AGS,KAGS,large_airport,NA,US,US-GA,Augusta,KAGS,AGS,Augusta Regional At Bush Field,Bush Field,United States,33.36989975,-81.96450043,144,-5,A,America/New_York
AGT,SGES,medium_airport,SA,PY,PY-10,Ciudad del Este,SGES,,Guarani International Airport,Ciudad del Este,Paraguay,-25.454516,-54.842682,846,-4,S,America/Asuncion
AGU,MMAS,medium_airport,NA,MX,MX-AGU,Aguascalientes,MMAS,,Jes˙s Ter·n Paredo International Airport,Aguascalientes,Mexico,21.705601,-102.318001,6112,-6,S,America/Mexico_City
AGV,SVAC,medium_airport,SA,VE,VE-P,Acarigua,SVAC,,Oswaldo Guevara Mujica Airport,Acarigua,Venezuela,9.553375244,-69.23786926,640,-4,U,America/Caracas
AGX,VOAT,medium_airport,AS,IN,IN-LD,,VOAT,,Agatti Airport,Agatti Island,India,10.82369995,72.1760025,14,5.5,N,Asia/Calcutta
AGZ,FAAG,medium_airport,AF,ZA,ZA-NC,Aggeneys,FAAG,,Aggeneys Airport,Aggeneys,South Africa,-29.28179932,18.81389999,2648,2,U,Africa/Johannesburg
AHB,OEAB,medium_airport,AS,SA,SA-14,Abha,OEAB,,Abha Regional Airport,Abha,Saudi Arabia,18.24040031,42.65660095,6858,3,U,Asia/Riyadh
AHE,NTHE,medium_airport,OC,PF,PF-U-A,Ahe Atoll,NTHE,,Ahe Airport,Ahe,French Polynesia,-14.42809963,-146.2570038,11,-10,U,Pacific/Tahiti
AHJ,AHJ,medium_airport,AS,CN,CN-51,Aba,ZUHY,, Hongyuan,Ngawa,China,32.52916667,102.3569444,11598,8,N,\N
AHN,KAHN,medium_airport,NA,US,US-GA,Athens,KAHN,AHN,Athens Ben Epps Airport,Athens,United States,33.94860077,-83.32630157,808,-5,A,America/New_York
AHO,LIEA,medium_airport,EU,IT,IT-88,Alghero,LIEA,SS02,Alghero-Fertilia Airport,Alghero,Italy,40.632099,8.29077,87,1,E,Europe/Rome
AHS,MHAH,small_airport,NA,HN,HN-GD,Ahuas,MHAH,,Ahuas Airport,Ahuas,Honduras,15.4722,-84.352203,249,-6,U,America/Tegucigalpa
AHU,GMTA,medium_airport,AF,MA,MA-HOC,Al Hoceima,GMTA,,Cherif Al Idrissi Airport,Al Hociema,Morocco,35.17710114,-3.839519978,95,0,N,Africa/Casablanca
AIA,KAIA,small_airport,NA,US,US-NE,Alliance,KAIA,AIA,Alliance Municipal Airport,Alliance,United States,42.05319977,-102.8040009,3931,-7,A,America/Denver
AIC,AIP,small_airport,OC,MH,MH-ALL,Bigatyelang Island,,,Airok Airport,Airok,Marshall Islands,7.1,171.233333,10,12,U,Pacific/Majuro
AIE,AIE,small_airport,OC,PG,PG-MPM,Aiome,AYAO,AIO,Aiome,Aiome,Papua New Guinea,-5.8,144.44,350,10,U,Pacific/Port_Moresby
AIK,KAIK,small_airport,NA,US,US-SC,Aiken,KAIK,AIK,Aiken Municipal Airport,Aiken,United States,33.6493988,-81.68499756,528,-5,A,America/New_York
AIM,MH-AIM,small_airport,OC,MH,MH-ALK,Ailuk Island,,,Ailuk Airport,Ailuk Island,Marshall Islands,10.2168,169.983,0,12,U,Pacific/Majuro
AIN,PAWI,medium_airport,NA,US,US-AK,Wainwright,PAWI,AWI,Wainwright Airport,Wainwright,United States,70.63800049,-159.9949951,41,-9,A,America/Anchorage
AIR,SWRP,small_airport,SA,BR,BR-MT,Aripuan√£,SSOU,SSOU,Aripuan„ Airport,Aripuana,Brazil,-10.250278,-59.383888,623,-4,S,\N
AIS,NGTR,small_airport,OC,KI,KI-G,Arorae Island,NGTR,,Arorae Island Airport,Arorae,Kiribati,-2.616110086,176.8029938,0,12,U,Pacific/Tarawa
AIT,NCAI,small_airport,OC,CK,CK-U-A,Aitutaki,NCAI,,Aitutaki Airport,Aitutaki,Cook Islands,-18.83090019,-159.7640076,14,-10,U,Pacific/Rarotonga
AIU,NCAT,small_airport,OC,CK,CK-U-A,Atiu Island,NCAT,,Enua Airport,Atiu Island,Cook Islands,-19.96780014,-158.1190033,36,-10,U,Pacific/Rarotonga
AIZ,KAIZ,small_airport,NA,US,US-MO,Kaiser Lake Ozark,KAIZ,AIZ,Lee C Fine Memorial Airport,Kaiser Lake Ozark,United States,38.09600067,-92.54949951,869,-6,A,America/Chicago
AJA,LFKJ,medium_airport,EU,FR,FR-H,Ajaccio/Napol√©on Bonaparte,LFKJ,,Ajaccio-NapolÈon Bonaparte Airport,Ajaccio,France,41.92359924,8.802920341,18,1,E,Europe/Paris
AJF,OESK,medium_airport,AS,SA,SA-12,Al-Jawf,OESK,,Al-Jawf Domestic Airport,Al-Jawf,Saudi Arabia,29.78510094,40.09999847,2261,3,U,Asia/Riyadh
AJI,LTCO,medium_airport,AS,TR,TR-04,,LTCO,,Agri Airport,Agri,Turkey,39.65454102,43.02597809,5462,3,E,Europe/Istanbul
AJL,VELP,medium_airport,AS,IN,IN-MZ,Aizawl,VELP,,Lengpui Airport,Aizwal,India,23.84059906,92.61969757,1398,5.5,N,Asia/Calcutta
AJN,FMCV,medium_airport,AF,KM,KM-A,Ouani,FMCV,,Ouani Airport,Anjouan,Comoros,-12.13169956,44.43030167,62,3,U,Indian/Comoro
AJR,ESNX,medium_airport,EU,SE,SE-BD,Arvidsjaur,ESNX,,Arvidsjaur Airport,Arvidsjaur,Sweden,65.59030151,19.28190041,1245,1,E,Europe/Stockholm
AJU,SBAR,medium_airport,SA,BR,BR-SE,Aracaju,SBAR,,Santa Maria Airport,Aracaju,Brazil,-10.98400021,-37.07030106,23,-3,S,America/Fortaleza
AJY,DRZA,medium_airport,AF,NE,NE-1,Agadez,DRZA,,Mano Dayak International Airport,Agadez,Niger,16.9659996,8.000109673,1657,1,N,Africa/Niamey
AKA,ZLAK,small_airport,AS,CN,CN-61,Ankang,ZLAK,,Ankang Wulipu Airport,Ankang,China,32.708099,108.931,860,8,U,Asia/Shanghai
AKB,PAAK,small_airport,NA,US,US-AK,Atka,PAAK,AKA,Atka Airport,Atka,United States,52.22029877,-174.2059937,57,-10,A,America/Adak
AKC,KAKR,medium_airport,NA,US,US-OH,Akron,KAKR,AKR,Akron Fulton International Airport,Akron,United States,41.03749847,-81.46690369,1067,-5,A,America/New_York
AKD,VAAK,medium_airport,AS,IN,IN-MM,,VAAK,,Akola Airport,Akola,India,20.6989994,77.05860138,999,5.5,N,Asia/Calcutta
AKF,HLKF,medium_airport,AF,LY,LY-KF,Kufra,HLKF,,Kufra Airport,Kufra,Libya,24.17869949,23.31399918,1367,2,N,Africa/Tripoli
AKI,PFAK,small_airport,NA,US,US-AK,Akiak,PFAK,AKI,Akiak Airport,Akiak,United States,60.9029007,-161.2310028,30,-9,A,America/Anchorage
AKJ,RJEC,medium_airport,AS,JP,JP-01,Asahikawa / Hokkaid≈ç,RJEC,,Asahikawa Airport,Asahikawa,Japan,43.67079926,142.4470062,721,9,U,Asia/Tokyo
AKK,PAKH,small_airport,NA,US,US-AK,Akhiok,PAKH,AKK,Akhiok Airport,Akhiok,United States,56.93870163,-154.1829987,44,-9,A,America/Anchorage
AKL,NZAA,large_airport,OC,NZ,NZ-AUK,Auckland,NZAA,,Auckland International Airport,Auckland,New Zealand,-37.0080986,174.7920074,23,12,Z,Pacific/Auckland
AKN,PAKN,medium_airport,NA,US,US-AK,King Salmon,PAKN,AKN,King Salmon Airport,King Salmon,United States,58.67679977,-156.6490021,73,-9,A,America/Anchorage
AKO,KAKO,small_airport,NA,US,US-CO,Akron,KAKO,AKO,Colorado Plains Regional Airport,Akron,United States,40.17559814,-103.2220001,4714,-7,A,America/Denver
AKP,PAKP,medium_airport,NA,US,US-AK,Anaktuvuk Pass,PAKP,AKP,Anaktuvuk Pass Airport,Anaktuvuk Pass,United States,68.13359833,-151.7429962,2102,-9,A,America/Anchorage
AKR,DNAK,medium_airport,AF,NG,NG-ON,Akure,DNAK,,Akure Airport,Akure,Nigeria,7.246739864,5.301010132,1100,1,N,Africa/Lagos
AKS,AGGA,small_airport,OC,SB,SB-ML,Auki,AGGA,,Auki Airport,Auki,Solomon Islands,-8.702569962,160.6820068,5,11,U,Pacific/Guadalcanal
AKT,LCRA,large_airport,EU,GB,GB-U-A,Akrotiri,LCRA,,RAF Akrotiri,Akrotiri,Cyprus,34.590401,32.9879,76,0,E,Europe/London
AKU,ZWAK,medium_airport,AS,CN,CN-65,Aksu,ZWAK,,Aksu Airport,Aksu,China,41.262501,80.291702,3816,8,U,Asia/Shanghai
AKV,CYKO,medium_airport,NA,CA,CA-QC,Akulivik,CYKO,,Akulivik Airport,Akulivik,Canada,60.8185997,-78.14859772,75,-5,A,America/Toronto
AKX,UATT,medium_airport,AS,KZ,KZ-AKT,Aktyuinsk,UATT,,Aktobe Airport,Aktyubinsk,Kazakhstan,50.24580002,57.20669937,738,5,U,Asia/Oral
AKY,VYSW,medium_airport,AS,MM,MM-16,Sittwe,VYSW,,Sittwe Airport,Sittwe,Burma,20.13269997,92.87259674,27,6.5,U,Asia/Rangoon
ALA,UAAA,large_airport,AS,KZ,KZ-ALM,Almaty,UAAA,,Almaty Airport,Alma-ata,Kazakhstan,43.35210037,77.04049683,2234,6,U,Asia/Qyzylorda
